     0.00     0.00      0.00   -24.22      0.00
     0.21    -0.09      0.23   -24.22      0.23
     0.42    -0.19      0.46   -24.21      0.46
     0.62    -0.28      0.68   -24.18      0.69
     0.83    -0.37      0.91   -24.14      0.92
     1.04    -0.46      1.14   -24.05      1.15
     1.25    -0.55      1.37   -23.89      1.38
     1.46    -0.64      1.60   -23.60      1.62
     1.68    -0.72      1.82   -23.16      1.85
     1.89    -0.79      2.05   -22.55      2.09
     2.11    -0.85      2.28   -21.85      2.33
     2.33    -0.90      2.50   -21.12      2.57
     2.56    -0.95      2.73   -20.42      2.80
     2.78    -1.00      2.95   -19.79      3.03
     3.00    -1.05      3.18   -19.23      3.26
     3.23    -1.09      3.41   -18.74      3.49
     3.45    -1.14      3.63   -18.31      3.72
     3.67    -1.19      3.86   -17.92      3.95
     3.90    -1.23      4.09   -17.58      4.17
     4.12    -1.28      4.31   -17.27      4.40
     4.34    -1.33      4.54   -16.99      4.63
     4.56    -1.37      4.77   -16.74      4.86
     4.79    -1.42      4.99   -16.52      5.09
     5.01    -1.47      5.22   -16.31      5.31
     5.23    -1.51      5.45   -16.11      5.54
     5.46    -1.56      5.68   -15.94      5.77
     5.68    -1.60      5.90   -15.77      6.00
     5.90    -1.65      6.13   -15.62      6.23
     6.13    -1.70      6.36   -15.48      6.45
     6.35    -1.74      6.59   -15.34      6.68
     6.57    -1.79      6.81   -15.22      6.91
     6.80    -1.83      7.04   -15.10      7.14
     7.02    -1.88      7.27   -14.99      7.37
     7.24    -1.92      7.50   -14.89      7.59
     7.47    -1.97      7.72   -14.79      7.82
     7.69    -2.02      7.95   -14.70      8.05
     7.91    -2.06      8.18   -14.61      8.28
     8.14    -2.11      8.41   -14.53      8.51
     8.36    -2.15      8.63   -14.45      8.73
     8.58    -2.20      8.86   -14.37      8.96
     8.81    -2.24      9.09   -14.30      9.19
     9.03    -2.29      9.32   -14.23      9.42
     9.25    -2.33      9.54   -14.17      9.64
     9.48    -2.38      9.77   -14.10      9.87
     9.70    -2.43     10.00   -14.04     10.10

     0.00     0.00      0.00    11.70      0.00
     0.23     0.05      0.23    11.70      0.23
